metric_id,categoria,nome,valor,unidade,fase,fonte,observacao
M001,status,Fase atual,6,fase,6,"Versus get_phase_state (currentPhase=6, currentIteration=1)","Fase 6 (Tests) aberta"
M002,status,Iteracao da fase atual,1,iteracao,6,"Versus get_phase_state (currentIteration=1)","Nenhuma fase passou de iteracao 1"
M003,status,Fases com gate de saida cruzado,6,fases,0-5,"GATES.md G0-03/G1-02/G2-02/G3-02/G4-04 + secao 'Fase 5 -> Fase 6' 2026-08-31T17:11:05Z","Fases 0,1,2,3,4,5"
M004,status,Score Fase 0,96,pontos/100,0,"GATES.md G0-01; Versus get_phase_state phase0Score=96","breakdown: clarezaProblema10 casosDeUso14 vocabulario10 ambiguidades13 foraDeEscopo10 criteriosSucesso9 premissas10 documentacao5 usuarioConfirmou10 iaConfiante5"
M005,status,Scores numericos registrados para Fases 1-6,0,scores,1-6,"Versus get_exit_criteria(1..6) - nenhum campo de score","Fases 1-6 usam apenas exit criteria booleanos; nao ha score numerico"
M006,status,Exit criteria Fase 0 atendidos,10/10,criterios,0,"Versus get_exit_criteria(0) met=10 total=10","ambiguities_zero marcado 'aceito' (5 ambiguidades tecnicas documentadas)"
M007,status,Exit criteria Fase 1 atendidos,8/8,criterios,1,"Versus get_exit_criteria(1) met=8 total=8",""
M008,status,Exit criteria Fase 2 atendidos,5/5,criterios,2,"Versus get_exit_criteria(2) met=5 total=5",""
M009,status,Exit criteria Fase 3 atendidos,4/4,criterios,3,"Versus get_exit_criteria(3) met=4 total=4",""
M010,status,Exit criteria Fase 4 atendidos,2/2,criterios,4,"Versus get_exit_criteria(4) met=2 total=2","check_all_safeguards retornou apenas S2/S4 como aplicaveis"
M011,status,Exit criteria Fase 5 atendidos,4/4,criterios,5,"Versus get_exit_criteria(5) met=4 total=4","ui_runnable atendido via smoke tests P0021-P0031 (D0073); push FCM tratado a parte (D0051)"
M012,status,Exit criteria Fase 6 atendidos,1/3,criterios,6,"Versus get_exit_criteria(6) met=1 total=3","tests_passing met=true; manual_testing e edge_cases met=false"
M013,status,Gates de fase reprovados,0,gates,0-5,"GATES.md - todas as transicoes advance_phase retornaram sucesso","G4-04: 1a tentativa de advance_phase(5) falhou por missingCriteria (exit criteria nao marcados), sucesso apos correcao"
M014,status,Loop 2<->3 executado,1,vezes,2-3,"GATES.md linha 113-116; D0028","Sem retorno a Fase 2 (mudanca estrutural 4,3% e 0 criticos < limiar)"
M015,arquitetura,Modulos na proposta inicial (rejeitada),11,modulos,1,"D0022; GATES.md nota G1 (versao de 11 nao escrita em arquivo)","Rejeitada pelo VA-human por granularidade (P0005)"
M016,arquitetura,Modulos na versao V(1) aprovada,22,modulos,1,"D0023; specs/technical/architecture.md tabela V(1)","12 dominio/infra + 10 apresentacao"
M017,arquitetura,Modulos na versao V(2) corrente,23,modulos,3,"D0027; specs/technical/architecture.md tabela V(2)","V(1) + M-23 diagnostics"
M018,arquitetura,Mudanca estrutural V(1)->V(2),4.3,por_cento,3,"D0027; architecture.md 'Mudanca estrutural V(1)->V(2)'","1 modulo adicionado / 23; 0 removidos; 0 fronteiras/dependencias redesenhadas"
M019,arquitetura,Premissas numeradas na arquitetura,11,premissas,1-3,"specs/validation/premise-coverage.md (A-1..A-11); architecture.md","A-1..A-8 em V(1); A-9/A-10/A-11 acrescentadas em V(2)"
M020,fase2,Achados adversariais totais (Fase 2),35,achados,2,"D0026; Versus get_exit_criteria(2) coverage_matrix 'details'","specs/design/coverage-matrix.md"
M021,fase2,Achados criticos,8,achados,2,"D0026; get_exit_criteria(2) criticals_identified; specs/validation/critical-coverage.md (8 ids)","AS-02 AR-03 SE-01 SE-02 RS-01 RS-03 OB-01 LG-01"
M022,fase2,Achados importantes,21,achados,2,"D0026; get_exit_criteria(3) important_decided",""
M023,fase2,Achados sugestao,6,achados,2,"D0026; D0027",""
M024,fase3,Criticos resolvidos,8/8,achados,3,"D0027; get_exit_criteria(3) criticals_addressed",""
M025,fase3,Importantes resolvidos por refinamento de interface,13,achados,3,"D0027; get_exit_criteria(3) important_decided",""
M026,fase3,Importantes aceitos com justificativa,8,achados,3,"D0027; get_exit_criteria(3) important_decided","13+8=21"
M027,fase3,Sugestoes adiadas para v2.0,6,achados,3,"D0027","Fora deste ciclo"
M028,interacao,Prompts com ID atribuido,35,ids,0-6,"research/PROMPT_LOG/ (P0001..P0035) + RESEARCH_LOG.md (entrada P0014)","P0036 = este relatorio (36o); ver M029"
M029,interacao,Arquivos em PROMPT_LOG antes de P0036,34,arquivos,0-6,"ls research/PROMPT_LOG/*.md","P0014.md AUSENTE (entrada P0014 existe em RESEARCH_LOG.md sem arquivo de prompt)"
M030,interacao,Decisoes registradas no Versus,75,decisoes,0-6,"Versus get_decisions count=75","Ultima 2026-08-31T22:50:22Z (P0035)"
M031,interacao,Entradas em research/DECISIONS.md,73,entradas,0-5,"research/DECISIONS.md (D0001..D0073)","D0049 AUSENTE da tabela (referenciada em D0050); D0074+ (Fase 6) NAO espelhadas - DECISIONS.md desatualizada para a Fase 6"
M032,interacao,Decisoes Versus - Fase 0,14,decisoes,0,"Versus get_decisions (tally por phase)",""
M033,interacao,Decisoes Versus - Fase 1,4,decisoes,1,"Versus get_decisions (tally por phase)",""
M034,interacao,Decisoes Versus - Fase 2,1,decisoes,2,"Versus get_decisions (tally por phase)",""
M035,interacao,Decisoes Versus - Fase 3,1,decisoes,3,"Versus get_decisions (tally por phase)",""
M036,interacao,Decisoes Versus - Fase 4,1,decisoes,4,"Versus get_decisions (tally por phase)",""
M037,interacao,Decisoes Versus - Fase 5,45,decisoes,5,"Versus get_decisions (tally por phase)","architecture 9 / diagnosis 25 / process 6 / scope 3 / testing 2"
M038,interacao,Decisoes Versus - Fase 6,9,decisoes,6,"Versus get_decisions (tally por phase)","testing 7 / diagnosis 1 / spec-coverage 1"
M039,interacao,Decisoes Versus categoria diagnosis,26,decisoes,0-6,"Versus get_decisions (tally por category)","25 na Fase 5 + 1 na Fase 6"
M040,interacao,Decisoes Versus categoria architecture,14,decisoes,0-6,"Versus get_decisions (tally por category)",""
M041,interacao,Decisoes Versus categoria testing,9,decisoes,0-6,"Versus get_decisions (tally por category)",""
M042,interacao,Decisoes Versus categoria process,8,decisoes,0-6,"Versus get_decisions (tally por category)",""
M043,interacao,Decisoes Versus categoria scope,5,decisoes,0-6,"Versus get_decisions (tally por category)",""
M044,interacao,Decisoes Versus categoria requirement,4,decisoes,0-6,"Versus get_decisions (tally por category)",""
M045,interacao,Decisoes Versus categoria constraint,4,decisoes,0-6,"Versus get_decisions (tally por category)",""
M046,interacao,Decisoes Versus categoria technology,2,decisoes,0-6,"Versus get_decisions (tally por category)",""
M047,interacao,Decisoes Versus categoria pattern,2,decisoes,0-6,"Versus get_decisions (tally por category)",""
M048,interacao,Decisoes Versus categoria spec-coverage,1,decisoes,0-6,"Versus get_decisions (tally por category)",""
M049,interacao,Linhas de DECISIONS.md com autor 'VA-human' na coluna,31,linhas,0-5,"grep '| VA-human' research/DECISIONS.md","Proxy de decisoes atribuidas explicitamente ao humano; nao e contagem de interacoes"
