finding_id,fase,tipo,descricao,evidencia,causa,acao,validacao,status
F-PROC-01,0,versus,"Phase-boundary leakage: a sintese de Teach-Back da Iteracao 1 da Fase 0 misturava decisoes de solucao (Keychain, MVVM, Apple HIG, Firebase SDK, notificacoes locais, bundling do .p12) com a sintese de compreensao do problema; e havia inconsistencia entre 'ambiguidade nao bloqueante' e 'criterio de sucesso' quanto a compatibilidade push iOS<->painel-web","RESEARCH_LOG.md P0004; DECISIONS.md D0020; GATES.md nota G0","Sintese produzida pelo GA antecipou solucoes para dentro da compreensao do problema","VA-human rejeitou o Teach-Back ('Quase - pequenos ajustes') via AskUserQuestion; sintese revisada separando confirmado vs. provisorio; achado secundario resolvido por D0021 (verificacao de codigo do painel-web)","Sintese revisada aprovada como 'Correto'; score 96/100 e 10/10 exit criteria referem-se a versao revisada (GATES.md nota G0)","resolvido"
F-PROC-02,1,va-human,"Granularizacao 11 -> 22 modulos: a decomposicao inicial do GA (11 modulos) foi considerada de granularidade insuficiente pelo VA-human (M-10 notifications e M-11 app-ui amplos demais; M-01/M-02 com interfaces pouco explicitas)","DECISIONS.md D0022/D0023; GATES.md nota G1; RESEARCH_LOG.md entrada P0005; specs/technical/architecture.md","Proposta de decomposicao do GA nao separava responsabilidades sensiveis/nao-sensiveis nem funcionalidades de notificacao","VA-human solicitou ajuste de granularidade; GA reapresentou 22 modulos (M-10 -> admin-feed/push-transport/course-reminders; M-11 -> app-shell + 9 *-ui; M-01 AuthStrategy explicito; M-02 SecureStore/LocalStore separados)","Versao de 22 modulos aprovada pelo VA-human e persistida em architecture.md; versao de 11 nunca escrita em arquivo (so chat)","resolvido"
F-PROC-03,3,versus,"M-23 (diagnostics) foi adicionado a arquitetura V(2) na Fase 3 e implementado na Fase 5 sem uma confirmacao humana isolada equivalente a usada na decomposicao da Fase 1","RESEARCH_LOG.md P0008; DECISIONS.md D0027 (add) / D0033 (aprovacao post-hoc); Versus decisao #26","Resposta unificada V(1)->V(2) da Fase 3 introduziu 1 modulo novo dentro de um lote de 35 resolucoes, sem passo de aprovacao dedicado","GA identificou a lacuna (P0008); apresentou revisao isolada de 11 pontos ao VA-human na Fase 5","VA-human aprovou M-23 post-hoc (D0033), sem ajustes; registro mantem M-23 como introduzido na Fase 3, aprovacao isolada apenas tardia (nao reescreve historico)","resolvido (aprovacao tardia)"
F-PROC-04,4,versus,"1a tentativa de advance_phase(target_phase=5) falhou com 'missingCriteria': os 2 exit criteria da Fase 4 nao haviam sido marcados via mark_exit_criterion apesar de verificados em chat","GATES.md G4-04","Verificacao feita em chat (relatorio de convergencia exibido) mas nao refletida no estado do Versus via a ferramenta de marcacao","GA marcou os 2 exit criteria via mark_exit_criterion e repetiu advance_phase","advance_phase(5) retornou sucesso apos a correcao (GATES.md G4-04)","resolvido"
F-PROC-05,5,limitacao,"Fase 5 pausada ANTES da implementacao de qualquer modulo: o ambiente so tinha Command Line Tools (sem Xcode), impedindo verificacao Automated-AV real de codigo Swift/iOS - gap conhecido desde P0002","GATES.md 'Fase 5 - PAUSADA'; DECISIONS.md D0029; ENVIRONMENT.md; RESEARCH_LOG.md P0006","Pre-requisito de ambiente (Xcode) nao satisfeito antes de a metodologia liberar a Fase 5","VA-human optou explicitamente por pausar (AskUserQuestion) em vez de escrever codigo nao verificavel ou instalar Xcode automaticamente","Fase 5 retomada apos o VA-human instalar Xcode; ambiente reverificado objetivamente (D0030; ENVIRONMENT.md atualizacao)","resolvido"
F-PROC-06,6,versus,"O hook test-outcome.js do Versus so reconhece 'npm test'/'pytest'/'cargo test'/'go test'/etc., nao 'xcodebuild test' - o engine nao testemunhava a execucao real da suite XCTest","RESEARCH_LOG.md P0032 ('plano da Fase 6'); Versus decisoes #68 e #70; .versus/test-outcome.js (TEST_PATTERNS)","isTestCommand() do hook nao cobre o runner de teste iOS","Criado package.json de raiz com script 'test' que encaminha para xcodebuild test (alias fino; runner XCTest nao modificado); execucao via 'npm test; echo VERSUS_TEST_EXIT=$?'","Versus lastTestOutcome passou a registrar outcome=pass phase=6 exitCode=0 (2026-08-31T17:49:41Z); exit criterion tests_passing marcado met=true","resolvido (com alias)"
F-PROC-07,6,limitacao,"Lacunas de rastreabilidade nos proprios registros: (a) P0014.md ausente de PROMPT_LOG (entrada P0014 existe em RESEARCH_LOG.md); (b) D0049 ausente da tabela de DECISIONS.md (referenciada em D0050); (c) DECISIONS.md nao espelha as decisoes da Fase 6 (para em D0073/P0031)","ls research/PROMPT_LOG/ ; research/DECISIONS.md (salto D0048->D0050; termina em D0073); Versus get_decisions (75 decisoes, ultimas 9 na Fase 6)","Disciplina de espelhamento de DECISIONS.md e PROMPT_LOG nao mantida integralmente durante a Fase 6 e em torno de P0014/D0049","Registrado neste relatorio (P0036) como anomalia; DECISIONS.md e PROMPT_LOG a reconciliar","Nao corrigido nesta consolidacao (fora do escopo do pedido); apenas documentado","aberto"
F-PROD-01,5,produto,"FirebaseApp.configure() sem GoogleService-Info.plist valido crashava o app INTEIRO no lancamento (nao so o push)","RESEARCH_LOG.md P0016/P0017; DECISIONS.md D0052; Versus decisao #45","Chamada a FirebaseApp.configure() sem checagem previa de configuracao valida","Degradacao graciosa: checagem objetiva de configuracao antes de configure(); sem config valida, FCM desabilitado e o resto do app segue","Rebuild real BUILD SUCCEEDED; install/launch no simulador PID 8641 sem crash (verificacao do GA); confirmado nos smoke tests seguintes","resolvido"
F-PROD-02,5,produto,"Firebase SDK via SPM (XCRemoteSwiftPackageReference direto no .xcodeproj OU dependencia em Package.swift local + XCLocalSwiftPackageReference) crasha de forma reproduzivel o Xcode/xcodebuild (IDESwiftPackageCore, NSInvalidArgumentException '-[NSMutableArray insertObjects:atIndexes:] count ... differs from count of index set')","RESEARCH_LOG.md P0011 (2 entradas Firebase); DECISIONS.md D0045/D0046; Versus decisoes #38/#39","Bug/limitacao do Xcode 26.6 ao registrar o grande grafo de dependencias transitivas do firebase-ios-sdk via manipulacao de pbxproj/manifesto fora do fluxo GUI incremental","3 reproducoes com comandos diferentes; conectividade descartada (HTTP 200); referencia do Firebase revertida por completo; caches de Package.resolved limpos","BUILD SUCCEEDED real confirmado apos reversao total (Package + App target)","resolvido (contornado - via nao usada)"
F-PROD-03,5,produto,"Integracao do Firebase via XCFrameworks oficiais locais (Opcao A, sem SPM/CocoaPods): 8 xcframeworks selecionados pelo grafo real do FirebaseMessaging.podspec; project.pbxproj editado manualmente; FirebaseMessagingBridge.swift (AppDelegate adapter, M-11 sem import de Firebase)","RESEARCH_LOG.md P0015/P0016; DECISIONS.md D0050; Versus decisao #43","Necessidade de manter Firebase/push no escopo (D0049/aprovacao Opcao A) evitando o code path SwiftPM que causa F-PROD-02","Baixado Firebase.zip oficial v12.18.0 (sha256 conferido); erro real de Swift 6 strict concurrency (conformance de AppDelegate a MessagingDelegate/UNUserNotificationCenterDelegate) corrigido via @preconcurrency","xcodebuild -list e build NAO crasharam; xcodebuild -scheme ESJUDApp build -> BUILD SUCCEEDED (CodeSign real dos 8 xcframeworks + linkagem)","resolvido (compila/linka)"
